,intitule,dateCreation,typeContrat,nombrePostes,lieuTravail.libelle,lieuTravail.latitude,lieuTravail.longitude,lieuTravail.codePostal,lieuTravail.commune,entreprise.nom,competences
164,Chef / Cheffe de projet informatique (H/F),2025-09-12 17:52:48.240000+00:00,CDI,1,  MERIGNAC,44.838121,-0.617566,33700.0,33281.0,SOCIETE GESER BEST,"[{""code"": ""109797"", ""libelle"": ""Définir la stratégie des systèmes d'informations"", ""exigence"": ""S""}, {""code"": ""300366"", ""libelle"": ""Recueillir et analyser les besoins client"", ""exigence"": ""S""}]"
165,Chef de projet d'exploitation informatique (H/F),2025-09-09 20:03:52.460000+00:00,CDI,1,  TROYES,48.302506,4.095752,10000.0,10387.0,MANPOWER FRANCE,
166,Chef de projet informatique (H/F),2025-07-09 16:28:49.274000+00:00,CDD,1,  LYON ,45.768146,4.849691,69006.0,69386.0,THE PROGRESS FACTORY,"[{""code"": ""109797"", ""libelle"": ""Définir la stratégie des systèmes d'informations"", ""exigence"": ""S""}]"
167,Chef de projet informatique industriel H/F,2025-06-18 09:07:58.185000+00:00,CDI,1,  RIOM,45.894005,3.115169,63200.0,63300.0,VERDOT,"[{""code"": ""300488"", ""libelle"": ""Concevoir et gérer un projet"", ""exigence"": ""S""}, {""code"": ""109797"", ""libelle"": ""Définir la stratégie des systèmes d'informations"", ""exigence"": ""S""}, {""code"": ""300197"", ""libelle"": ""Elaborer un schéma directeur technique, définir des besoins en équipement"", ""exigence"": ""S""}, {""code"": ""109800"", ""libelle"": ""Procéder au choix de réalisation, de traitement en interne ou par sous-traitance et en contrôler la conformité"", ""exigence"": ""S""}]"
168,Chef de projet WMS (H/F),2025-10-10 16:49:08.523000+00:00,CDI,1,  SAINTDENIS,48.941361,2.382491,93200.0,93066.0,E-KENT,
169,CHEF DE PROJET IT (H/F),2025-10-02 12:01:34.994000+00:00,MIS,1,  BERRE L ETANG,43.475821,5.167326,13130.0,13014.0,PROMAN EXPERTISE,"[{""code"": ""300366"", ""libelle"": ""Recueillir et analyser les besoins client"", ""exigence"": ""S""}]"
170,CHEF DE PROJET DEPLOIEMENT LOGICIEL (H/F),2025-10-02 11:40:32.403000+00:00,CDI,1,  ROGNAC,43.489604,5.229353,13340.0,13081.0,PROMAN EXPERTISE,
171,Chef de Projet MES - Industrie du Verre (H/F),2025-10-01 15:37:24.884000+00:00,CDI,1,  CHALON SUR SAONE,46.780685,4.853856,71100.0,71076.0,VERTECH',
172,Chef de projet technique (H/F),2025-09-30 10:26:35.040000+00:00,CDI,1,  PARIS ,48.832653,2.35548,75013.0,75113.0,UNICANCER,
173,Chef de Projet ERP Sage X3 (H/F),2025-09-26 10:31:41.226000+00:00,CDI,1,  THIAIS,48.755201,2.395091,94320.0,94073.0,SUNAPSIS,
174,Chef de projet changement numérique - contrat de 6 mois (H/F),2025-07-28 11:21:50.626000+00:00,CDD,1,  QUIMPER,47.987208,-4.083502,29000.0,29232.0,DEPARTEMENT DU FINISTERE,"[{""code"": ""109797"", ""libelle"": ""Définir la stratégie des systèmes d'informations"", ""exigence"": ""E""}, {""code"": ""300366"", ""libelle"": ""Recueillir et analyser les besoins client"", ""exigence"": ""S""}, {""code"": ""400478"", ""libelle"": ""Piloter des évolutions ou des paramétrages à apporter aux composants"", ""exigence"": ""E""}, {""code"": ""400320"", ""libelle"": ""Piloter le déploiement et l'intégration d'outils d'optimisation au sein des processus métiers"", ""exigence"": ""E""}, {""code"": ""300469"", ""libelle"": ""Préparer et animer une réunion, un groupe de travail, un atelier"", ""exigence"": ""E""}]"
175,CHEF DE PROJET IT TRANSVERSE - BU MEDICALE (H/F),2025-06-26 11:16:46.113000+00:00,CDI,1,  ST ETIENNE,45.421322,4.392869,42000.0,42218.0,OMERIN SAS,"[{""code"": ""110150"", ""libelle"": ""Anglais technique"", ""exigence"": ""S""}, {""code"": ""123486"", ""libelle"": ""Audit des systèmes d'information"", ""exigence"": ""S""}, {""code"": ""477438"", ""libelle"": ""Gestion de projets informatiques"", ""exigence"": ""E""}, {""code"": ""113277"", ""libelle"": ""Méthode AGILE"", ""exigence"": ""S""}, {""code"": ""481303"", ""libelle"": ""Planification de projets IT"", ""exigence"": ""E""}, {""code"": ""121126"", ""libelle"": ""Progiciels de gestion intégrée d'entreprise (ERP)"", ""exigence"": ""S""}, {""code"": ""300575"", ""libelle"": ""Allouer et organiser les ressources d'un projet selon les besoins et contraintes"", ""exigence"": ""E""}, {""code"": ""300067"", ""libelle"": ""Analyser, exploiter, structurer des données"", ""exigence"": ""E""}, {""code"": ""400199"", ""libelle"": ""Analyser les besoins informatiques"", ""exigence"": ""E""}, {""code"": ""486093"", ""libelle"": ""Faciliter la communication interne et externe"", ""exigence"": ""S""}, {""code"": ""121624"", ""libelle"": ""Gérer la documentation technique des projets"", ""exigence"": ""S""}, {""code"": ""120340"", ""libelle"": ""Procéder aux phases de tests et de recettes des applications développées"", ""exigence"": ""S""}, {""code"": ""300458"", ""libelle"": ""Structurer, synthétiser des informations"", ""exigence"": ""S""}]"
176,Chef de projet applicatifs & ERP (H/F),2025-06-11 10:54:09.892000+00:00,CDI,1,  FIGEAC,44.610028,2.034882,46100.0,46102.0,FIGEAC AERO,"[{""code"": ""109797"", ""libelle"": ""Définir la stratégie des systèmes d'informations"", ""exigence"": ""S""}]"
177,Chef de Projet ERP (H/F),2025-10-10 18:04:28.386000+00:00,CDI,1,  MONTPELLIER,43.615413,3.839357,34000.0,34172.0,SIMPLICITI,
178,Chef de projet Système d'Information Décisionnel (SID) (H/F),2025-10-10 14:43:18.670000+00:00,CDD,1,  ORLEANS,47.884842,1.908837,45100.0,45234.0,UNIVERSITE D'ORLEANS,"[{""code"": ""300488"", ""libelle"": ""Concevoir et gérer un projet"", ""exigence"": ""S""}, {""code"": ""109797"", ""libelle"": ""Définir la stratégie des systèmes d'informations"", ""exigence"": ""S""}]"
179,Chef de projet Retail (H/F),2025-10-09 15:27:05.956000+00:00,CDI,1,  BREST,48.414003,-4.491985,29200.0,29019.0,WIZBII,
180,Chef de projet (H/F),2025-10-08 17:05:28.868000+00:00,CCE,1,  NANTES,47.241266,-1.572225,44000.0,44109.0,HOLENEK INGENIERIE,
181,Chef De Projet Applicatif (H/F),2025-10-08 12:02:18.525000+00:00,CDI,1,  MONTPELLIER,43.615688,3.930282,34000.0,34172.0,MATEN,"[{""code"": ""300688"", ""libelle"": ""Application web"", ""exigence"": ""S""}, {""code"": ""109846"", ""libelle"": ""Concevoir une application web"", ""exigence"": ""S""}]"
182,Chef de projets informatique Etudes (F/H),2025-10-07 16:05:03.965000+00:00,CDI,1,  VITROLLES,43.426232,5.278694,13127.0,13117.0,EXPECTRA JBM,
183,Chef de projet Fonctionnel dans les SI (F/H) (H/F),2025-10-07 10:35:27.259000+00:00,CDI,1,  BIOT,43.618857,7.07539,6410.0,6018.0,CLEEVEN SE,"[{""code"": ""300019"", ""libelle"": ""Accompagner l'appropriation d'un outil par ses utilisateurs"", ""exigence"": ""S""}, {""code"": ""300366"", ""libelle"": ""Recueillir et analyser les besoins client"", ""exigence"": ""S""}]"
184,Chef de projet GED H/F,2025-10-07 10:16:03.165000+00:00,CDI,1,  ROUEN,49.430099,1.084284,76000.0,76540.0,CRIT,
185,Chef de projet DATA (H/F),2025-10-07 10:13:48.633000+00:00,CDI,1,  NEUILLY SUR SEINE,48.884789,2.269688,92200.0,92051.0,PREREQUIS,
186,CHEF DE PROJET FONCTIONNEL DATA & BI (H/F),2025-10-07 10:06:17.579000+00:00,CDI,1,  MARSEILLE ,43.310701,5.442954,13012.0,13212.0,,"[{""code"": ""300366"", ""libelle"": ""Recueillir et analyser les besoins client"", ""exigence"": ""S""}]"
187,Chef de projet technique H/F (H/F),2025-10-06 17:51:10.389000+00:00,CDI,1,  LILLE,50.612754,3.047638,59000.0,59350.0,ABIL RESSOURCES,"[{""code"": ""300488"", ""libelle"": ""Concevoir et gérer un projet"", ""exigence"": ""S""}, {""libelle"": ""conception des exercices de reprise d'activité"", ""exigence"": ""S""}, {""libelle"": ""optimisation des exercices de reprise d'activité"", ""exigence"": ""S""}, {""libelle"": ""Réalisation  des exercices de reprise d'activité"", ""exigence"": ""S""}, {""libelle"": ""Gestion du site de secours à la reprise d'activité"", ""exigence"": ""S""}, {""libelle"": ""suivi des incidents"", ""exigence"": ""S""}, {""libelle"": ""Système d'information"", ""exigence"": ""S""}, {""libelle"": ""SQL Server"", ""exigence"": ""S""}, {""libelle"": ""Oracle"", ""exigence"": ""S""}, {""libelle"": ""Windows"", ""exigence"": ""S""}, {""libelle"": ""Aix"", ""exigence"": ""S""}]"
188,Chef de Projet SI (H/F),2025-10-05 16:52:26.158000+00:00,CDD,1,  BRUGES,44.881489,-0.612742,33520.0,33075.0,PREFILOC CAPITAL,
189,Chef de projet SI (H/F),2025-10-02 10:06:42.976000+00:00,CDI,1,  MASSY,48.730893,2.271256,91300.0,91377.0,LA DETECTION ELECTRONIQUE FRANCAISE,"[{""code"": ""300488"", ""libelle"": ""Concevoir et gérer un projet"", ""exigence"": ""S""}, {""code"": ""109797"", ""libelle"": ""Définir la stratégie des systèmes d'informations"", ""exigence"": ""S""}, {""code"": ""300197"", ""libelle"": ""Elaborer un schéma directeur technique, définir des besoins en équipement"", ""exigence"": ""S""}, {""code"": ""109800"", ""libelle"": ""Procéder au choix de réalisation, de traitement en interne ou par sous-traitance et en contrôler la conformité"", ""exigence"": ""S""}]"
190,Chef de Projet Solutions Métier H/F,2025-10-01 09:43:15.824000+00:00,CDI,1,  AGEN,44.203088,0.616423,47000.0,47001.0,PRIMEVER SERVICES,"[{""libelle"": ""Connaissance du métier transport"", ""exigence"": ""S""}, {""libelle"": ""Jira, Gantt, MindMap, MyReport/PowerBI, etc"", ""exigence"": ""E""}, {""libelle"": ""Méthodologie projet (QCDR, Contrat Projet, etc.)."", ""exigence"": ""E""}, {""libelle"": ""Notions de développement et langages techniques."", ""exigence"": ""E""}, {""libelle"": ""Maitrise des outils projets et Reporting "", ""exigence"": ""E""}]"
191,Chef de projet maitrise d'œuvre SI (H/F),2025-10-01 09:27:44.615000+00:00,CDI,1,  ST MAURICE,48.814865,2.45893,94410.0,94069.0,AGENCE NATIONALE DE SANTE PUBLIQUE,"[{""code"": ""121028"", ""libelle"": ""Planifier et suivre les échéances de projet"", ""exigence"": ""E""}, {""code"": ""300188"", ""libelle"": ""Rédiger un cahier des charges, des spécifications techniques"", ""exigence"": ""S""}, {""libelle"": ""Capacité à interagir avec les équipes techniques"", ""exigence"": ""S""}, {""libelle"": ""Capacités de priorisation"", ""exigence"": ""S""}, {""libelle"": ""Expérience avec les ERP"", ""exigence"": ""S""}, {""libelle"": ""Connaissance des CRM"", ""exigence"": ""S""}, {""libelle"": ""Compétences en Bases de Données "", ""exigence"": ""S""}, {""libelle"": ""Capacité de concertation et de négociation"", ""exigence"": ""S""}]"
192,Chef de projet IBMi (H/F),2025-09-30 11:00:27.888000+00:00,CDI,1,  ENTZHEIM,48.53461,7.635642,67960.0,67124.0,ITEA,"[{""code"": ""102788"", ""libelle"": ""HTML"", ""exigence"": ""S""}, {""code"": ""109870"", ""libelle"": ""Java"", ""exigence"": ""S""}, {""code"": ""102732"", ""libelle"": ""Langages de programmation informatique"", ""exigence"": ""S""}, {""code"": ""120803"", ""libelle"": ""Programmation logicielle"", ""exigence"": ""S""}, {""code"": ""400320"", ""libelle"": ""Piloter le déploiement et l'intégration d'outils d'optimisation au sein des processus métiers"", ""exigence"": ""S""}]"
193,Chef de projet (H/F),2025-09-29 09:54:20.896000+00:00,CDI,1,  LE MANS,47.986618,0.209623,72000.0,72181.0,GIE SESAM VITALE,"[{""code"": ""300366"", ""libelle"": ""Recueillir et analyser les besoins client"", ""exigence"": ""S""}]"
194,Chef de projet SI et Applications (H/F),2025-09-26 11:45:19.899000+00:00,CDI,1,  ALENCON,48.430161,0.082034,61000.0,61001.0,SERVICES CENTRAUX,"[{""code"": ""496072"", ""libelle"": ""Méthodes de gestion de projet agile"", ""exigence"": ""S""}, {""code"": ""481371"", ""libelle"": ""Gestion de projet informatique"", ""exigence"": ""S""}, {""code"": ""492246"", ""libelle"": ""Architecture de systèmes informatiques"", ""exigence"": ""S""}, {""code"": ""479269"", ""libelle"": ""Gestion des risques informatiques"", ""exigence"": ""S""}, {""code"": ""496415"", ""libelle"": ""Optimisation des processus informatiques"", ""exigence"": ""S""}, {""code"": ""109814"", ""libelle"": ""Réseaux informatiques et télécoms"", ""exigence"": ""S""}, {""code"": ""300488"", ""libelle"": ""Concevoir et gérer un projet"", ""exigence"": ""S""}, {""code"": ""403853"", ""libelle"": ""Déterminer des objectifs de performance, suivre les réalisations et identifier les actions correctives"", ""exigence"": ""S""}, {""code"": ""109797"", ""libelle"": ""Définir la stratégie des systèmes d'informations"", ""exigence"": ""S""}, {""code"": ""300440"", ""libelle"": ""Animer, coordonner une équipe"", ""exigence"": ""S""}, {""code"": ""486980"", ""libelle"": ""Assurer la liaison entre les équipes techniques et non techniques"", ""exigence"": ""S""}, {""code"": ""486790"", ""libelle"": ""Optimiser l'utilisation des ressources informatiques"", ""exigence"": ""S""}, {""code"": ""109807"", ""libelle"": ""Superviser un secteur/projet de déploiement"", ""exigence"": ""S""}, {""code"": ""503750"", ""libelle"": ""Diriger des projets de transformation numérique"", ""exigence"": ""S""}, {""code"": ""300323"", ""libelle"": ""Elaborer, suivre et piloter un budget"", ""exigence"": ""S""}, {""code"": ""119245"", ""libelle"": ""Collaborer avec une équipe projet"", ""exigence"": ""S""}, {""code"": ""300579"", ""libelle"": ""Communiquer auprès de ses interlocuteurs internes et externes"", ""exigence"": ""S""}, {""code"": ""300486"", ""libelle"": ""Superviser des opérations, des actions"", ""exigence"": ""S""}, {""code"": ""486012"", ""libelle"": ""Collaborer avec les équipes pour intégrer de nouvelles solutions"", ""exigence"": ""S""}, {""libelle"": ""Connaissance du secteur Médico-Social"", ""exigence"": ""E""}, {""libelle"": ""Enjeux règlementaires et programmes"", ""exigence"": ""E""}, {""libelle"": ""Sécurité SI et RGPD"", ""exigence"": ""E""}, {""libelle"": ""Environnement Microsoft 365"", ""exigence"": ""E""}]"
195,Chef de Projet Sénior / Directeur de Projet Retail Digital Encais (H/F),2025-09-24 18:28:03.002000+00:00,CDI,1,  CLICHY,48.902793,2.30484,92110.0,92024.0,NTT CORPORATE,"[{""code"": ""300488"", ""libelle"": ""Concevoir et gérer un projet"", ""exigence"": ""E""}, {""code"": ""109797"", ""libelle"": ""Définir la stratégie des systèmes d'informations"", ""exigence"": ""E""}]"
197,Cheffe / chef de projet en numérisation patrimoniale (H/F),2025-09-23 15:23:24.855000+00:00,CDI,1,  BORDEAUX,44.83281,-0.611465,33000.0,33063.0,ARKHENUM,"[{""code"": ""300575"", ""libelle"": ""Allouer et organiser les ressources d'un projet selon les besoins et contraintes"", ""exigence"": ""S""}]"
199,Chef de projet MOE (H/F),2025-09-19 10:22:40.059000+00:00,CDI,1,  BORDEAUX,44.873213,-0.546046,33000.0,33063.0,METALINE,
200,Chef de projet Java (H/F),2025-09-17 16:56:28.209000+00:00,CDI,1,  SCHILTIGHEIM,48.605277,7.748604,67300.0,67447.0,ITEA,"[{""code"": ""109797"", ""libelle"": ""Définir la stratégie des systèmes d'informations"", ""exigence"": ""S""}, {""code"": ""300366"", ""libelle"": ""Recueillir et analyser les besoins client"", ""exigence"": ""S""}]"
201,Chef(ffe) de Projet Déploiement (H/F),2025-09-10 18:00:29.926000+00:00,CDI,1,  PARIS ,48.858831,2.379253,75011.0,75111.0,TEAMNET,
202,IT Project Lead - Chef de Projet IT (H/F),2025-09-10 17:58:19.405000+00:00,CDI,1,  DUNKERQUE,51.046842,2.398388,59140.0,59183.0,SOCIETE GESER BEST,"[{""code"": ""300366"", ""libelle"": ""Recueillir et analyser les besoins client"", ""exigence"": ""S""}]"
203,Chargé de projet déploiement informatique et support client (H/F),2025-08-27 15:04:44.553000+00:00,CDI,1,  CHALON SUR SAONE,46.780685,4.853856,71100.0,71076.0,VERTECH',"[{""code"": ""109797"", ""libelle"": ""Définir la stratégie des systèmes d'informations"", ""exigence"": ""S""}]"
204,Chef de Projet (H/F),2025-08-18 16:35:50.793000+00:00,CDI,1,  NANTES,47.206267,-1.538056,44000.0,44109.0,ARCESI OCCITANIE 44,
205,Chef(fe) de projet Cybersécurité - Gouvernance SMSI (H/F),2025-05-27 11:20:22.348000+00:00,CDI,1,  MERIGNAC,44.838121,-0.617566,33700.0,33281.0,ARCESI,"[{""code"": ""109797"", ""libelle"": ""Définir la stratégie des systèmes d'informations"", ""exigence"": ""E""}]"
206,Chef de projets IT Expert (H/F) - Guyancourt (78) ,2025-10-09 10:49:50.656000+00:00,CDI,1,  GUYANCOURT,48.770857,2.070169,78280.0,78297.0,AKTISEA,
207,Chef(fe) de Projets Techniques (H/F),2025-09-29 15:10:35.677000+00:00,CDI,1,  NANTES,47.206511,-1.58837,44000.0,44109.0,J.E.S.,
208,Chef de Projets Sénior (H/F),2025-08-28 12:37:33.011000+00:00,CDI,1,  GRENOBLE,45.18637,5.711296,38000.0,38185.0,HARDIS TECH SERVICES,"[{""code"": ""300366"", ""libelle"": ""Recueillir et analyser les besoins client"", ""exigence"": ""S""}]"
209,Consultant implémentation (H/F),2025-09-22 17:42:03.033000+00:00,CDI,1,  MARSEILLE E ARRONDISSEMENT,43.249653,5.38847,13008.0,13208.0,ENOVACOM,
210,Chef de projet & produit logiciel (H/F),2025-10-06 19:06:36.475000+00:00,CDI,1,  AVIGNON,43.932253,4.844962,84000.0,84007.0,SIMPLICITI,
211,Chef de projet & produit logiciel (H/F),2025-10-06 19:05:28.813000+00:00,CDI,1,  AIXENPROVENCE,43.534848,5.461078,13080.0,13001.0,SIMPLICITI,
212,Chef de projet & produit logiciel (H/F),2025-10-06 19:04:20.886000+00:00,CDI,1,  LYON E ARRONDISSEMENT,45.786154,4.796312,69009.0,69389.0,SIMPLICITI,
213,Chef de projet Data & Performance RSE (H/F),2025-10-02 14:09:52.187000+00:00,CDI,1,  ST ETIENNE DE MONTLUC,47.274201,-1.781098,44360.0,44158.0,AO,"[{""code"": ""300366"", ""libelle"": ""Recueillir et analyser les besoins client"", ""exigence"": ""S""}]"
214,CHEF DE PROJET DATA ET EMPLOI & FORMATION H/F (H/F),2025-09-30 11:59:47.666000+00:00,CDI,1,  PARIS ,48.871795,2.357832,75010.0,75110.0,BRAIN WORK OFFICE,"[{""code"": ""300366"", ""libelle"": ""Recueillir et analyser les besoins client"", ""exigence"": ""S""}]"
215,Chef(fe) de projet Dotnet (H/F),2025-09-25 11:02:56.669000+00:00,CDI,1,  SAINTNAZAIRE,47.282637,-2.260091,44600.0,44184.0,HOLENEK INGENIERIE,
216,Chargé de Projet Informatique (H/F),2025-09-25 10:39:00.876000+00:00,CDI,1,  MORE,47.90324,1.234198,41160.0,41154.0,SOCIETE LE TRIANGLE,"[{""code"": ""121126"", ""libelle"": ""Progiciels de gestion intégrée d'entreprise (ERP)"", ""exigence"": ""S""}, {""code"": ""300366"", ""libelle"": ""Recueillir et analyser les besoins client"", ""exigence"": ""S""}, {""code"": ""300615"", ""libelle"": ""Gérer les risques de cybersécurité"", ""exigence"": ""S""}]"
217,Ref GR IAII  INGENIEUR AUTOMATICIEN & INFORMATICIEN INDUSTRIEL (H/F),2025-10-07 23:25:32.187000+00:00,CDI,1,  TARARE,45.895283,4.433632,69170.0,69243.0,CIMEM,"[{""code"": ""104552"", ""libelle"": ""Régulation et instrumentation"", ""exigence"": ""E""}, {""code"": ""104535"", ""libelle"": ""Concevoir les spécifications de l'installation automatisée en fonction du cahier des charges"", ""exigence"": ""E""}, {""code"": ""104537"", ""libelle"": ""Paramétrer un programme d'automatisation pour un automate programmable"", ""exigence"": ""E""}, {""code"": ""104536"", ""libelle"": ""Réaliser l'analyse fonctionnelle de l'installation et la décliner en un programme d'automatisation"", ""exigence"": ""E""}, {""code"": ""104540"", ""libelle"": ""Vérifier le programme d'automatisation par une série de tests sur plate-forme d'essais, en atelier, sur site"", ""exigence"": ""E""}, {""libelle"": ""-\tScada (Aveva Intouch, System Platform ou WinCC) "", ""exigence"": ""E""}, {""libelle"": ""l’usine 4.0 : IOT, simulation, PLM , cybersécurité"", ""exigence"": ""S""}, {""libelle"": ""process continus"", ""exigence"": ""E""}, {""libelle"": ""serveurs informatique , réseaux ethernet"", ""exigence"": ""E""}, {""libelle"": ""automates Siemens ou Schneider"", ""exigence"": ""E""}, {""libelle"": ""Expériences en BE ou usine"", ""exigence"": ""E""}]"
218,Techniciens d'étude et de développement en informatique (H/F),2025-09-23 11:20:53.231000+00:00,CDI,1,  AIX EN PROVENCE,43.48513,5.418478,13080.0,13001.0,BCS INFORMATIQUE,"[{""code"": ""300366"", ""libelle"": ""Recueillir et analyser les besoins client"", ""exigence"": ""E""}, {""libelle"": ""AZURE AD"", ""exigence"": ""E""}, {""libelle"": ""Maitrise obligatoire des logiciels: Seal, SAP, MES"", ""exigence"": ""E""}]"
219,Directeur de projets informatiques (H/F),2025-09-17 15:07:10.054000+00:00,CDI,1,  REIMS,49.231129,4.006966,51100.0,51454.0,LE CNAM'IDS,"[{""libelle"": ""principes de sécurité informatique"", ""exigence"": ""E""}, {""libelle"": ""Maitrise des process et méthodes de gest de projet"", ""exigence"": ""E""}, {""libelle"": ""Architecture MVL"", ""exigence"": ""E""}, {""libelle"": ""Compréhension infrastructures réseaux"", ""exigence"": ""E""}, {""libelle"": ""Compréhension Linux, Windows"", ""exigence"": ""E""}, {""libelle"": ""Maitrise des pratiques DevOps"", ""exigence"": ""E""}]"
220,Chargé de projet SI (H/F),2025-09-15 11:19:09.708000+00:00,CDD,1,  SOUSTONS,43.755588,-1.326951,40140.0,40310.0,FEDERATION DEPART ASS LOCALES ADMR,"[{""code"": ""109797"", ""libelle"": ""Définir la stratégie des systèmes d'informations"", ""exigence"": ""S""}, {""code"": ""300019"", ""libelle"": ""Accompagner l'appropriation d'un outil par ses utilisateurs"", ""exigence"": ""S""}, {""code"": ""400199"", ""libelle"": ""Analyser les besoins informatiques"", ""exigence"": ""S""}, {""code"": ""300022"", ""libelle"": ""Enseigner, transmettre des connaissances, développer des compétences"", ""exigence"": ""S""}, {""code"": ""486093"", ""libelle"": ""Faciliter la communication interne et externe"", ""exigence"": ""S""}, {""code"": ""300469"", ""libelle"": ""Préparer et animer une réunion, un groupe de travail, un atelier"", ""exigence"": ""S""}]"
221,Consultant Ibm Planning Analytics (H/F),2025-10-10 17:35:07.859000+00:00,CDI,1,  PARIS E ARRONDISSEMENT,48.840813,2.388195,75012.0,75112.0,E-KENT,
222,Coordinateur/Coordinatrice de projets (H/F),2025-10-03 15:52:21.594000+00:00,CDI,1,  TOULOUSE,43.63786,1.464,31000.0,31555.0,BUGBUSTERS WE DEPLOY IT,
223,Chargé d'analyse d'audiences (H/F),2025-10-02 18:42:32.465000+00:00,MIS,1,  ISSY LES MOULINEAUX,48.82453,2.273793,92130.0,92040.0,LHH RECRUITMENT SOLUTIONS,
225,SUPERVISEUR JAVA H/F,2025-09-29 14:41:04.691000+00:00,CDI,1,  HETTANGEGRANDE,49.407456,6.151419,57330.0,57323.0,MENWAY,
226,Coordinateur Technique IT Junior (H/F),2025-09-29 11:34:11.232000+00:00,CDI,1,  MRIGNAC,44.838121,-0.617566,33700.0,33281.0,GROUPE VITAL,"[{""code"": ""300575"", ""libelle"": ""Allouer et organiser les ressources d'un projet selon les besoins et contraintes"", ""exigence"": ""E""}, {""libelle"": ""coordination"", ""exigence"": ""E""}]"
227,Chargé de projets R2821361 (H/F),2025-09-26 15:34:35.808000+00:00,MIS,1,  PARIS ,48.884682,2.322169,75017.0,75117.0,MODIS TECH TALENT SERVICES (TTS),"[{""code"": ""300688"", ""libelle"": ""Application web"", ""exigence"": ""S""}, {""code"": ""109846"", ""libelle"": ""Concevoir une application web"", ""exigence"": ""S""}]"
229,Technicien/ne Prestations (H/F),2025-08-20 11:30:03.635000+00:00,CDI,1,  CAPTIEUX,44.291508,-0.261722,33840.0,33095.0,EUROEDI,
230,Project Manager MES (H/F),2025-06-12 15:37:54.605000+00:00,CDI,1,  CESSON SEVIGNE,48.120148,-1.603791,35510.0,35051.0,ASTREE SOFTWARE,"[{""code"": ""300488"", ""libelle"": ""Concevoir et gérer un projet"", ""exigence"": ""S""}, {""code"": ""109797"", ""libelle"": ""Définir la stratégie des systèmes d'informations"", ""exigence"": ""S""}, {""code"": ""300197"", ""libelle"": ""Elaborer un schéma directeur technique, définir des besoins en équipement"", ""exigence"": ""S""}, {""code"": ""109800"", ""libelle"": ""Procéder au choix de réalisation, de traitement en interne ou par sous-traitance et en contrôler la conformité"", ""exigence"": ""S""}]"
231,Basic Automation Project Lead - Chargé Projet Automatisation (H/F),2025-09-10 17:28:25.549000+00:00,CDI,1,  DUNKERQUE,51.046842,2.398388,59140.0,59183.0,SOCIETE GESER BEST,"[{""code"": ""300366"", ""libelle"": ""Recueillir et analyser les besoins client"", ""exigence"": ""S""}]"
232,Chef De Projet Applicatif (H/F),2025-10-10 17:46:46.427000+00:00,CDI,1,  LEVALLOISPERRET,48.892818,2.287751,92300.0,92044.0,E-KENT,"[{""code"": ""109797"", ""libelle"": ""Définir la stratégie des systèmes d'informations"", ""exigence"": ""E""}]"
233,Chef de projet systèmes électriques et domotiques (H/F),2025-10-04 13:43:07.409000+00:00,CDI,1,  BOBIGNY,48.909624,2.46766,93000.0,93008.0,BAAZ BATIMENT,"[{""code"": ""109797"", ""libelle"": ""Définir la stratégie des systèmes d'informations"", ""exigence"": ""E""}]"
234,Chef de projet AMOA - Product Manager (H/F),2025-09-18 17:04:45.181000+00:00,CDI,1,  VAULX EN VELIN,45.757214,4.92668,69120.0,69256.0,LA NEF,"[{""code"": ""120327"", ""libelle"": ""Analyser des données techniques pour optimiser les processus"", ""exigence"": ""E""}, {""code"": ""300488"", ""libelle"": ""Concevoir et gérer un projet"", ""exigence"": ""E""}, {""code"": ""109818"", ""libelle"": ""Elaborer des solutions techniques et fonctionnelles"", ""exigence"": ""E""}, {""code"": ""120325"", ""libelle"": ""Présenter les évolutions du système d'information au commanditaire"", ""exigence"": ""S""}, {""code"": ""120326"", ""libelle"": ""Recenser les besoins du commanditaire"", ""exigence"": ""S""}]"
235,CHEF DE PROJET ERP (H/F),2025-10-03 09:50:26.735000+00:00,CDI,1,  NOGENT SUR SEINE,48.492518,3.498124,10400.0,10268.0,POK,"[{""code"": ""300488"", ""libelle"": ""Concevoir et gérer un projet"", ""exigence"": ""S""}]"
236,Chef de mission SI - Déploiement logiciel (H/F),2025-10-03 09:12:50.245000+00:00,CDD,1,  ST PIERRE,-21.313111,55.474702,97410.0,97416.0,RECRUT'OI,"[{""code"": ""109797"", ""libelle"": ""Définir la stratégie des systèmes d'informations"", ""exigence"": ""S""}]"
237,Chef / Cheffe de projet Systèmes d'Information (H/F),2025-09-18 18:40:21.975000+00:00,CDI,1,  LE LAMENTIN,14.615411,-61.003361,97232.0,97213.0,MANAGEMENT ET INVESTISSEMENTS CARAIBES,"[{""code"": ""109797"", ""libelle"": ""Définir la stratégie des systèmes d'informations"", ""exigence"": ""S""}]"
